class_desc,class,zipcode,res,comm,units,landarea,grossarea,yearbuilt,price
01 ONE FAMILY DWELLINGS,1,11214,1,0,1,2058,1492,1930,0
01 ONE FAMILY DWELLINGS,1,11214,1,0,1,3142,3200,1999,0
01 ONE FAMILY DWELLINGS,1,11214,1,0,1,3142,3200,1999,0
01 ONE FAMILY DWELLINGS,1,11214,1,0,1,2417,1584,1930,0
01 ONE FAMILY DWELLINGS,1,11214,1,0,1,2417,1584,1930,0
01 ONE FAMILY DWELLINGS,1,11228,1,0,1,2417,2000,1935,0
01 ONE FAMILY DWELLINGS,1,11214,1,1,2,980,1525,1927,0
01 ONE FAMILY DWELLINGS,1,11228,1,0,1,1920,1498,1945,0
01 ONE FAMILY DWELLINGS,1,11228,1,0,1,1990,1328,1925,0
01 ONE FAMILY DWELLINGS,1,11228,1,0,1,1800,1296,1935,0
01 ONE FAMILY DWELLINGS,1,11214,1,0,1,1655,1156,1960,0
01 ONE FAMILY DWELLINGS,1,11214,1,1,2,755,1330,1925,0
01 ONE FAMILY DWELLINGS,1,11214,1,0,1,1760,992,1950,0
01 ONE FAMILY DWELLINGS,1,11214,1,0,1,2127,1188,1940,0
01 ONE FAMILY DWELLINGS,1,11214,1,0,1,1619,928,1940,0
01 ONE FAMILY DWELLINGS,1,11214,1,0,1,1619,928,1940,0
02 TWO FAMILY DWELLINGS,2,11228,2,0,2,2320,2160,1930,0
02 TWO FAMILY DWELLINGS,2,11228,2,0,2,2320,2160,1930,0
02 TWO FAMILY DWELLINGS,2,11228,2,0,2,2320,2160,1930,0
02 TWO FAMILY DWELLINGS,2,11228,2,0,2,2320,2160,1930,0
02 TWO FAMILY DWELLINGS,2,11228,2,0,2,2320,2160,1930,0
02 TWO FAMILY DWELLINGS,2,11228,2,0,2,2320,2160,1930,0
02 TWO FAMILY DWELLINGS,2,11228,2,0,2,1933,2720,1930,0
02 TWO FAMILY DWELLINGS,2,11228,2,0,2,2320,2160,1930,0
02 TWO FAMILY DWELLINGS,2,11228,2,0,2,2320,2160,1930,0
02 TWO FAMILY DWELLINGS,2,11228,2,0,2,1547,1428,1930,0
02 TWO FAMILY DWELLINGS,2,11214,2,0,2,2167,1944,1920,0
02 TWO FAMILY DWELLINGS,2,11214,2,0,2,2167,1960,1899,0
02 TWO FAMILY DWELLINGS,2,11214,2,0,2,1800,2048,1910,0
02 TWO FAMILY DWELLINGS,2,11214,2,1,3,2199,2800,1931,0
02 TWO FAMILY DWELLINGS,2,11214,2,0,2,1904,1456,1935,0
02 TWO FAMILY DWELLINGS,2,11214,2,0,2,1933,2100,1960,0
02 TWO FAMILY DWELLINGS,2,11228,2,0,2,2296,2160,1940,0
02 TWO FAMILY DWELLINGS,2,11228,2,0,2,1933,2347,1940,0
02 TWO FAMILY DWELLINGS,2,11228,2,0,2,2336,2160,1940,0
02 TWO FAMILY DWELLINGS,2,11214,2,1,3,4167,4000,1926,0
02 TWO FAMILY DWELLINGS,2,11214,2,0,2,1767,1888,1930,0
02 TWO FAMILY DWELLINGS,2,11214,2,0,2,2167,3432,1925,0
02 TWO FAMILY DWELLINGS,2,11214,2,0,2,4833,2856,1925,0
02 TWO FAMILY DWELLINGS,2,11228,2,0,2,3867,3992,2009,0
02 TWO FAMILY DWELLINGS,2,11228,2,0,2,3867,3992,2009,0
02 TWO FAMILY DWELLINGS,2,11228,2,0,2,3867,2940,1920,0
02 TWO FAMILY DWELLINGS,2,11214,2,1,3,2500,4824,1910,0
02 TWO FAMILY DWELLINGS,2,11214,2,0,2,1785,2114,1930,0
02 TWO FAMILY DWELLINGS,2,11214,2,0,2,1417,1740,1930,0
02 TWO FAMILY DWELLINGS,2,11214,2,1,3,840,3280,1925,0
02 TWO FAMILY DWELLINGS,2,11214,2,0,2,3867,2843,1899,0
02 TWO FAMILY DWELLINGS,2,11214,2,0,2,2925,2406,1925,0
02 TWO FAMILY DWELLINGS,2,11228,2,0,2,1442,1640,1925,0
02 TWO FAMILY DWELLINGS,2,11228,2,0,2,2900,2520,1965,0
02 TWO FAMILY DWELLINGS,2,11228,2,0,2,1933,1860,1955,0
02 TWO FAMILY DWELLINGS,2,11214,2,0,2,1552,1536,1940,0
02 TWO FAMILY DWELLINGS,2,11214,2,0,2,1632,928,1940,0
02 TWO FAMILY DWELLINGS,2,11214,2,0,2,1937,2280,1960,0
02 TWO FAMILY DWELLINGS,2,11214,2,0,2,1818,1320,1950,0
02 TWO FAMILY DWELLINGS,2,11214,2,0,2,1820,1320,1950,0
02 TWO FAMILY DWELLINGS,2,11214,2,0,2,1820,1320,1950,0
02 TWO FAMILY DWELLINGS,2,11214,2,0,2,1820,1320,1950,0
02 TWO FAMILY DWELLINGS,2,11214,2,0,2,2127,1561,1945,0
02 TWO FAMILY DWELLINGS,2,11214,2,0,2,2100,2292,1945,0
02 TWO FAMILY DWELLINGS,2,11214,2,0,2,2280,1993,1945,0
02 TWO FAMILY DWELLINGS,2,11228,2,0,2,2546,2070,1950,0
02 TWO FAMILY DWELLINGS,2,11228,2,0,2,2183,1156,1960,0
03 THREE FAMILY DWELLINGS,3,11228,3,0,3,2320,2160,1930,0
03 THREE FAMILY DWELLINGS,3,11214,3,0,3,1533,3340,1899,0
03 THREE FAMILY DWELLINGS,3,11214,3,0,3,2183,1800,1920,0
03 THREE FAMILY DWELLINGS,3,11214,3,0,3,1933,2411,1930,0
03 THREE FAMILY DWELLINGS,3,11214,3,0,3,1933,2411,1930,0
03 THREE FAMILY DWELLINGS,3,11214,3,0,3,2900,3216,1899,0
03 THREE FAMILY DWELLINGS,3,11214,3,0,3,3867,2284,1901,0
03 THREE FAMILY DWELLINGS,3,11214,3,0,3,3000,3141,1992,0
03 THREE FAMILY DWELLINGS,3,11214,3,0,3,1949,2840,1960,0
03 THREE FAMILY DWELLINGS,3,11214,3,0,3,1000,2662,1925,0
03 THREE FAMILY DWELLINGS,3,11214,3,0,3,2654,2600,1910,0
03 THREE FAMILY DWELLINGS,3,11214,3,0,3,2958,4832,1995,0
03 THREE FAMILY DWELLINGS,3,11214,3,0,3,2405,2612,1970,0
03 THREE FAMILY DWELLINGS,3,11214,3,0,3,2900,3609,2007,0
03 THREE FAMILY DWELLINGS,3,11214,3,0,3,2142,3600,2004,0
03 THREE FAMILY DWELLINGS,3,11214,3,0,3,5800,3157,1920,0
03 THREE FAMILY DWELLINGS,3,11214,3,0,3,1602,3375,1920,0
03 THREE FAMILY DWELLINGS,3,11214,3,0,3,1953,3240,1901,0
03 THREE FAMILY DWELLINGS,3,11214,3,0,3,1933,2869,1935,0
04 TAX CLASS 1 CONDOS,4,11228,1,0,1,0,0,,0
04 TAX CLASS 1 CONDOS,4,11214,1,0,1,0,0,2007,0
04 TAX CLASS 1 CONDOS,4,11214,1,0,1,0,0,2007,0
04 TAX CLASS 1 CONDOS,4,11214,1,0,1,0,0,,0
04 TAX CLASS 1 CONDOS,4,11214,1,0,1,0,0,2018,0
04 TAX CLASS 1 CONDOS,4,11214,1,0,1,0,0,2018,0
07 RENTALS - WALKUP APARTMENTS,7,11214,4,0,4,2496,2180,1931,0
07 RENTALS - WALKUP APARTMENTS,7,11214,4,0,4,2900,3520,1923,0
09 COOPS - WALKUP APARTMENTS,9,11214,,,,,,1949,0
09 COOPS - WALKUP APARTMENTS,9,11214,,,,,,1949,0
09 COOPS - WALKUP APARTMENTS,9,11214,,,,,,1949,0
09 COOPS - WALKUP APARTMENTS,9,11228,,,,,,1950,0
09 COOPS - WALKUP APARTMENTS,9,11228,,,,,,1950,0
09 COOPS - WALKUP APARTMENTS,9,11228,,,,,,1950,0
12 CONDOS - WALKUP APARTMENTS,12,11214,1,0,1,0,0,,0
14 RENTALS - 4-10 UNIT,14,11214,3,1,4,1920,3546,1915,0
15 CONDOS - 2-10 UNIT RESIDENTIAL,15,11214,1,0,1,0,0,2002,0
22 STORE BUILDINGS,22,11214,2,2,4,2340,4528,1929,0
30 WAREHOUSES,30,11214,0,1,1,24910,32550,1931,0
44 CONDO PARKING,44,11214,0,1,1,0,0,,0
44 CONDO PARKING,44,11214,0,1,1,0,0,2007,0
44 CONDO PARKING,44,11214,0,1,1,0,0,2007,0
01 ONE FAMILY DWELLINGS,1,11219,1,1,2,2056,2560,1931,0
01 ONE FAMILY DWELLINGS,1,11220,1,0,1,2000,1520,1935,0
01 ONE FAMILY DWELLINGS,1,11220,1,0,1,2000,2000,1910,0
01 ONE FAMILY DWELLINGS,1,11220,1,0,1,2000,1376,1925,0
01 ONE FAMILY DWELLINGS,1,11220,1,0,1,2186,1456,1930,0
01 ONE FAMILY DWELLINGS,1,11220,1,0,1,1994,1456,1930,0
01 ONE FAMILY DWELLINGS,1,11220,1,0,1,2000,1673,1940,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,1917,1938,1925,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,1900,1938,1925,0
01 ONE FAMILY DWELLINGS,1,11228,1,1,2,1521,1120,1925,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,1500,1160,1945,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,2850,1656,1930,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,7012,3945,1920,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,2000,2172,1901,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,3389,1620,1920,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,3389,1620,1920,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,2250,1332,1925,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,8747,6552,2013,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,1950,1368,1915,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,3216,2080,1920,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,3000,1648,1925,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,3233,1964,1920,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,2187,1264,1925,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,3517,1768,1930,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,1983,1877,1910,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,2351,1700,1910,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,2275,1957,1915,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,4373,3844,1910,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,7500,2738,1910,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,2750,1494,1915,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,5000,3237,1920,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,4000,2190,1920,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,5388,2180,1950,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,2500,1862,1920,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,2000,1640,1925,0
01 ONE FAMILY DWELLINGS,1,11228,1,0,1,2000,1304,1915,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,3630,2652,1920,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,5000,1638,1925,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,2500,1496,1925,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,5000,1890,1925,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,2025,1312,1925,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,2000,1328,1920,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,2200,1240,1925,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,2500,1560,1925,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,2500,2208,1925,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,2000,1248,1925,0
01 ONE FAMILY DWELLINGS,1,11228,1,0,1,2293,1980,1935,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,1253,1160,1925,0
01 ONE FAMILY DWELLINGS,1,11209,1,1,2,2500,2496,1925,0
01 ONE FAMILY DWELLINGS,1,11209,1,0,1,980,980,1925,0
